follower_username,followed_username
10000@novasbe.pt,10041@novasbe.pt
10000@novasbe.pt,10069@novasbe.pt
10000@novasbe.pt,10021@novasbe.pt
10000@novasbe.pt,10024@novasbe.pt
10000@novasbe.pt,10086@novasbe.pt
10000@novasbe.pt,10011@novasbe.pt
10000@novasbe.pt,10096@novasbe.pt
10000@novasbe.pt,10006@novasbe.pt
10000@novasbe.pt,10088@novasbe.pt
10000@novasbe.pt,10017@novasbe.pt
10001@novasbe.pt,10013@novasbe.pt
10001@novasbe.pt,10019@novasbe.pt
10001@novasbe.pt,10025@novasbe.pt
10001@novasbe.pt,10058@novasbe.pt
10001@novasbe.pt,10047@novasbe.pt
10001@novasbe.pt,10052@novasbe.pt
10001@novasbe.pt,10026@novasbe.pt
10001@novasbe.pt,10017@novasbe.pt
10001@novasbe.pt,10007@novasbe.pt
10001@novasbe.pt,10077@novasbe.pt
10002@novasbe.pt,10063@novasbe.pt
10002@novasbe.pt,10031@novasbe.pt
10002@novasbe.pt,10051@novasbe.pt
10002@novasbe.pt,10040@novasbe.pt
10002@novasbe.pt,10076@novasbe.pt
10002@novasbe.pt,10017@novasbe.pt
10002@novasbe.pt,10004@novasbe.pt
10002@novasbe.pt,10010@novasbe.pt
10002@novasbe.pt,10008@novasbe.pt
10002@novasbe.pt,10056@novasbe.pt
10003@novasbe.pt,10079@novasbe.pt
10003@novasbe.pt,10087@novasbe.pt
10003@novasbe.pt,10036@novasbe.pt
10003@novasbe.pt,10020@novasbe.pt
10003@novasbe.pt,10009@novasbe.pt
10003@novasbe.pt,10051@novasbe.pt
10003@novasbe.pt,10047@novasbe.pt
10003@novasbe.pt,10043@novasbe.pt
10003@novasbe.pt,10040@novasbe.pt
10003@novasbe.pt,10037@novasbe.pt
10003@novasbe.pt,10077@novasbe.pt
10004@novasbe.pt,10079@novasbe.pt
10004@novasbe.pt,10092@novasbe.pt
10004@novasbe.pt,10043@novasbe.pt
10004@novasbe.pt,10047@novasbe.pt
10005@novasbe.pt,10045@novasbe.pt
10005@novasbe.pt,10076@novasbe.pt
10005@novasbe.pt,10071@novasbe.pt
10005@novasbe.pt,10016@novasbe.pt
10005@novasbe.pt,10030@novasbe.pt
10006@novasbe.pt,10055@novasbe.pt
10006@novasbe.pt,10034@novasbe.pt
10006@novasbe.pt,10060@novasbe.pt
10006@novasbe.pt,10070@novasbe.pt
10007@novasbe.pt,10071@novasbe.pt
10007@novasbe.pt,10056@novasbe.pt
10007@novasbe.pt,10053@novasbe.pt
10007@novasbe.pt,10019@novasbe.pt
10007@novasbe.pt,10082@novasbe.pt
10007@novasbe.pt,10047@novasbe.pt
10007@novasbe.pt,10098@novasbe.pt
10007@novasbe.pt,10051@novasbe.pt
10007@novasbe.pt,10060@novasbe.pt
10007@novasbe.pt,10040@novasbe.pt
10007@novasbe.pt,10017@novasbe.pt
10007@novasbe.pt,10042@novasbe.pt
10008@novasbe.pt,10071@novasbe.pt
10008@novasbe.pt,10013@novasbe.pt
10008@novasbe.pt,10055@novasbe.pt
10008@novasbe.pt,10039@novasbe.pt
10008@novasbe.pt,10036@novasbe.pt
10008@novasbe.pt,10027@novasbe.pt
10008@novasbe.pt,10064@novasbe.pt
10008@novasbe.pt,10066@novasbe.pt
10009@novasbe.pt,10093@novasbe.pt
10009@novasbe.pt,10082@novasbe.pt
10009@novasbe.pt,10055@novasbe.pt
10009@novasbe.pt,10084@novasbe.pt
10009@novasbe.pt,10039@novasbe.pt
10010@novasbe.pt,10045@novasbe.pt
10010@novasbe.pt,10052@novasbe.pt
10010@novasbe.pt,10043@novasbe.pt
10010@novasbe.pt,10094@novasbe.pt
10011@novasbe.pt,10092@novasbe.pt
10011@novasbe.pt,10069@novasbe.pt
10011@novasbe.pt,10060@novasbe.pt
10011@novasbe.pt,10039@novasbe.pt
10011@novasbe.pt,10006@novasbe.pt
10011@novasbe.pt,10046@novasbe.pt
10011@novasbe.pt,10012@novasbe.pt
10011@novasbe.pt,10049@novasbe.pt
10012@novasbe.pt,10079@novasbe.pt
10012@novasbe.pt,10027@novasbe.pt
10012@novasbe.pt,10002@novasbe.pt
10012@novasbe.pt,10058@novasbe.pt
10012@novasbe.pt,10001@novasbe.pt
10012@novasbe.pt,10064@novasbe.pt
10012@novasbe.pt,10019@novasbe.pt
10012@novasbe.pt,10062@novasbe.pt
10012@novasbe.pt,10047@novasbe.pt
10012@novasbe.pt,10053@novasbe.pt
